entity_type,entity_name,cited_doc_count,non_cited_doc_count,cited_coverage_rate,non_cited_coverage_rate,coverage_lift,cited_total_mentions,non_cited_total_mentions,avg_salience_cited,avg_salience_non_cited
PHONE_NUMBER,1(800) 846-1302,1,0,0.125,0.0,1.25,1,0,0.0,0.0
PHONE_NUMBER,1-866-403-9848,1,0,0.125,0.0,1.25,1,0,0.0,0.0
PHONE_NUMBER,+82 33 815 2300,0,1,0.0,0.0556,0.0,0,2,0.0,0.0
PHONE_NUMBER,+82-31-320-5000,0,1,0.0,0.0556,0.0,0,2,0.0,0.0
PHONE_NUMBER,+852 2928 8882,0,1,0.0,0.0556,0.0,0,1,0.0,0.0
ADDRESS,93599,1,0,0.125,0.0,1.25,2,0,0.0,0.0
ADDRESS,199 Everland-ro,0,1,0.0,0.0556,0.0,0,2,0.0,0.0
ADDRESS,"61 Marina Coastal Dr, 018947",0,1,0.0,0.0556,0.0,0,1,0.0,0.0
ADDRESS,廣東省深圳市南山區沙河街道白石路2168-29,0,1,0.0,0.0556,0.0,0,2,0.0,0.0
ADDRESS,128 Hajungdo-gil,0,1,0.0,0.0556,0.0,0,2,0.0,0.0
ADDRESS,"17 
烏節路",0,1,0.0,0.0556,0.0,0,1,0.0,0.0
ADDRESS,中心路2233號,0,1,0.0,0.0556,0.0,0,2,0.0,0.0
ADDRESS,深圳市福田區濱河大道9283號,0,1,0.0,0.0556,0.0,0,2,0.0,0.0
DATE,2026,7,2,0.875,0.1111,7.8758,51,2,0.0,0.0
DATE,April 2026,3,0,0.375,0.0,3.75,4,0,0.0,0.0
DATE,2027,4,3,0.5,0.1667,2.9994,8,6,0.0,0.0
DATE,"May 4, 2026",2,0,0.25,0.0,2.5,4,0,0.0,0.0
DATE,"May 7, 2026",2,0,0.25,0.0,2.5,3,0,0.0,0.0
DATE,July 2026,2,0,0.25,0.0,2.5,4,0,0.0,0.0
DATE,"May 15, 2026",2,0,0.25,0.0,2.5,2,0,0.0,0.0
DATE,"May 11, 2026",2,0,0.25,0.0,2.5,4,0,0.0,0.0
DATE,"May 3, 2026",2,0,0.25,0.0,2.5,3,0,0.0,0.0
DATE,"June 24, 2026",2,0,0.25,0.0,2.5,2,0,0.0,0.0
DATE,"April 20, 2026",1,1,0.125,0.0556,2.2482,1,4,0.0,0.0
DATE,4/20/26,1,1,0.125,0.0556,2.2482,28,3,0.0,0.0
DATE,January 6,1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,6/27/26,1,0,0.125,0.0,1.25,18,0,0.0,0.0
DATE,"May 16, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,"May 21, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,5/4/26,1,0,0.125,0.0,1.25,18,0,0.0,0.0
DATE,June 11,1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,June 29,1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,"Oct 4, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,6/11/26,1,0,0.125,0.0,1.25,10,0,0.0,0.0
DATE,5/15/26,1,0,0.125,0.0,1.25,7,0,0.0,0.0
DATE,6/15/26,1,0,0.125,0.0,1.25,18,0,0.0,0.0
DATE,"June 1, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,5/16/26,1,0,0.125,0.0,1.25,21,0,0.0,0.0
DATE,"June 19, 2026",1,0,0.125,0.0,1.25,2,0,0.0,0.0
DATE,"July 6, 2026",1,0,0.125,0.0,1.25,2,0,0.0,0.0
DATE,5/7/26,1,0,0.125,0.0,1.25,11,0,0.0,0.0
DATE,7/9/26,1,0,0.125,0.0,1.25,11,0,0.0,0.0
DATE,7/4/26,1,0,0.125,0.0,1.25,7,0,0.0,0.0
DATE,"Sept 13, 2019",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,1/8/27,1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,"July 30, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,"May 1, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,4/13/26,1,0,0.125,0.0,1.25,17,0,0.0,0.0
DATE,5/6/26,1,0,0.125,0.0,1.25,3,0,0.0,0.0
DATE,6/12/26,1,0,0.125,0.0,1.25,11,0,0.0,0.0
DATE,July 9,1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,"Sep 2, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,6/25/26,1,0,0.125,0.0,1.25,11,0,0.0,0.0
DATE,"May 18, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,6/18/26,1,0,0.125,0.0,1.25,11,0,0.0,0.0
DATE,2020,1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,"July 9, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,"July 27, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,6 April 2026 Sun,1,0,0.125,0.0,1.25,4,0,0.0,0.0
DATE,"June 22, 2026",1,0,0.125,0.0,1.25,2,0,0.0,0.0
DATE,8/10/26,1,0,0.125,0.0,1.25,4,0,0.0,0.0
DATE,"June 29, 2026",1,0,0.125,0.0,1.25,2,0,0.0,0.0
DATE,6/24/26,1,0,0.125,0.0,1.25,7,0,0.0,0.0
DATE,4/18/26,1,0,0.125,0.0,1.25,3,0,0.0,0.0
DATE,"July 12, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,6/26/26,1,0,0.125,0.0,1.25,3,0,0.0,0.0
DATE,9/17/26,1,0,0.125,0.0,1.25,4,0,0.0,0.0
DATE,5/2/26,1,0,0.125,0.0,1.25,22,0,0.0,0.0
DATE,"June 8, 2026",1,0,0.125,0.0,1.25,2,0,0.0,0.0
DATE,"July 18, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,"June 20, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,"Aug 17, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,7/25/26,1,0,0.125,0.0,1.25,7,0,0.0,0.0
DATE,5/30/26,1,0,0.125,0.0,1.25,18,0,0.0,0.0
DATE,5/28/26,1,0,0.125,0.0,1.25,7,0,0.0,0.0
DATE,10/3/2026,1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,7/11/26,1,0,0.125,0.0,1.25,11,0,0.0,0.0
DATE,"May 28, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,5/23/26,1,0,0.125,0.0,1.25,14,0,0.0,0.0
DATE,7/26/26,1,0,0.125,0.0,1.25,4,0,0.0,0.0
DATE,4/27/26,1,0,0.125,0.0,1.25,22,0,0.0,0.0
DATE,"June 11, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,"June 25, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,"September 12, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,6/13/26,1,0,0.125,0.0,1.25,11,0,0.0,0.0
DATE,5/29/26,1,0,0.125,0.0,1.25,10,0,0.0,0.0
DATE,6/5/26,1,0,0.125,0.0,1.25,11,0,0.0,0.0
DATE,January 1st,1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,6/4/26,1,0,0.125,0.0,1.25,7,0,0.0,0.0
DATE,7/20/26,1,0,0.125,0.0,1.25,10,0,0.0,0.0
DATE,6/22/26,1,0,0.125,0.0,1.25,14,0,0.0,0.0
DATE,"July 11, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,May 2025,1,0,0.125,0.0,1.25,3,0,0.0,0.0
DATE,12/31/26,1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,"Sep 30, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,7/10/26,1,0,0.125,0.0,1.25,4,0,0.0,0.0
DATE,5/9/26,1,0,0.125,0.0,1.25,10,0,0.0,0.0
DATE,"June 27, 2026",1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,June 22,1,0,0.125,0.0,1.25,1,0,0.0,0.0
DATE,7/27/26,1,0,0.125,0.0,1.25,3,0,0.0,0.0
DATE,7/2/26,1,0,0.125,0.0,1.25,11,0,0.0,0.0
DATE,7/16/26,1,0,0.125,0.0,1.25,11,0,0.0,0.0
DATE,8/6/26,1,0,0.125,0.0,1.25,3,0,0.0,0.0
