entity_type,entity_name,cited_doc_count,non_cited_doc_count,cited_coverage_rate,non_cited_coverage_rate,coverage_lift,cited_total_mentions,non_cited_total_mentions,avg_salience_cited,avg_salience_non_cited
PHONE_NUMBER,(877) 536-0123,1,0,0.0526,0.0,0.526,2,0,0.0,0.0
PRICE,$250,2,1,0.1053,0.0213,4.9437,2,2,0.0,0.0
PRICE,$75,2,1,0.1053,0.0213,4.9437,2,1,0.0,0.0
PRICE,$1,2,1,0.1053,0.0213,4.9437,2,1,0.0,0.0
PRICE,$60,2,1,0.1053,0.0213,4.9437,2,2,0.0,0.0
PRICE,$23,3,2,0.1579,0.0426,3.7066,3,3,0.0,0.0
PRICE,$229.99,3,3,0.1579,0.0638,2.4749,3,5,0.0,0.0
PRICE,$69,2,2,0.1053,0.0426,2.4718,2,2,0.0,0.0
PRICE,$30,2,2,0.1053,0.0426,2.4718,3,2,0.0,0.0
PRICE,$147,2,2,0.1053,0.0426,2.4718,2,3,0.0,0.0
PRICE,$297,2,2,0.1053,0.0426,2.4718,2,2,0.0,0.0
PRICE,$129,1,1,0.0526,0.0213,2.4695,1,1,0.0,0.0
PRICE,$349,1,1,0.0526,0.0213,2.4695,1,2,0.0,0.0
PRICE,$0.10,1,1,0.0526,0.0213,2.4695,1,1,0.0,0.0
PRICE,€29,1,1,0.0526,0.0213,2.4695,4,2,0.0,0.0
PRICE,$59.99,1,1,0.0526,0.0213,2.4695,1,1,0.0,0.0
PRICE,$890,1,1,0.0526,0.0213,2.4695,2,1,0.0,0.0
PRICE,$39.99,1,1,0.0526,0.0213,2.4695,2,1,0.0,0.0
PRICE,$375,1,1,0.0526,0.0213,2.4695,1,1,0.0,0.0
PRICE,$149.99,1,1,0.0526,0.0213,2.4695,1,1,0.0,0.0
PRICE,$149,1,1,0.0526,0.0213,2.4695,2,2,0.0,0.0
PRICE,$29.95,1,1,0.0526,0.0213,2.4695,1,2,0.0,0.0
PRICE,$189.99,1,1,0.0526,0.0213,2.4695,1,2,0.0,0.0
