entity_type,entity_name,cited_doc_count,non_cited_doc_count,cited_coverage_rate,non_cited_coverage_rate,coverage_lift,cited_total_mentions,non_cited_total_mentions,avg_salience_cited,avg_salience_non_cited
PHONE_NUMBER,201-870-6000,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PHONE_NUMBER,877-818-7447 ext. 1,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PHONE_NUMBER,(877) 818-7447,0,1,0.0,0.0233,0.0,0,4,0.0,0.0
PRICE,$100,4,1,0.2,0.0233,8.5837,4,1,0.0,0.0
PRICE,$499,4,1,0.2,0.0233,8.5837,4,1,0.0,0.0
PRICE,$199,7,2,0.35,0.0465,7.5269,11,2,0.0,0.0
PRICE,$69,3,1,0.15,0.0233,6.4378,3,1,0.0,0.0
PRICE,$11,5,4,0.25,0.093,2.6882,5,5,0.0,0.0
PRICE,$9,7,6,0.35,0.1395,2.509,9,9,0.0,0.0
PRICE,$99,4,4,0.2,0.093,2.1505,5,6,0.0,0.0
PRICE,$29,7,7,0.35,0.1628,2.1499,9,10,0.0,0.0
PRICE,$24,1,1,0.05,0.0233,2.1459,1,1,0.0,0.0
PRICE,$70,1,1,0.05,0.0233,2.1459,1,1,0.0,0.0
PRICE,$5,1,1,0.05,0.0233,2.1459,1,1,0.0,0.0
PRICE,$297,1,1,0.05,0.0233,2.1459,1,1,0.0,0.0
PRICE,€26,1,1,0.05,0.0233,2.1459,1,1,0.0,0.0
PRICE,$75,1,1,0.05,0.0233,2.1459,1,1,0.0,0.0
PRICE,$40,4,0,0.2,0.0,2.0,4,0,0.0,0.0
PRICE,$0.05,4,0,0.2,0.0,2.0,4,0,0.0,0.0
PRICE,$300,4,0,0.2,0.0,2.0,4,0,0.0,0.0
PRICE,$10,3,4,0.15,0.093,1.6129,4,4,0.0,0.0
PRICE,€399,3,0,0.15,0.0,1.5,3,0,0.0,0.0
PRICE,$74,3,0,0.15,0.0,1.5,3,0,0.0,0.0
PRICE,$29.99,2,3,0.1,0.0698,1.4327,3,3,0.0,0.0
PRICE,$49,2,4,0.1,0.093,1.0753,3,4,0.0,0.0
PRICE,$19.99,2,4,0.1,0.093,1.0753,2,5,0.0,0.0
PRICE,$159.99,1,2,0.05,0.0465,1.0753,1,2,0.0,0.0
PRICE,$155,1,2,0.05,0.0465,1.0753,1,2,0.0,0.0
PRICE,$99.99,1,2,0.05,0.0465,1.0753,1,2,0.0,0.0
PRICE,$14.99,1,2,0.05,0.0465,1.0753,1,2,0.0,0.0
PRICE,$229.99,1,2,0.05,0.0465,1.0753,1,3,0.0,0.0
PRICE,$119,1,2,0.05,0.0465,1.0753,1,2,0.0,0.0
PRICE,$9.99,3,8,0.15,0.186,0.8065,3,9,0.0,0.0
PRICE,$19,2,6,0.1,0.1395,0.7168,3,10,0.0,0.0
PRICE,$0,1,4,0.05,0.093,0.5376,2,5,0.0,0.0
PRICE,$59,1,4,0.05,0.093,0.5376,1,6,0.0,0.0
PRICE,$7,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,€99,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,"INR 1,500",1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$23,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$0.30,1,0,0.05,0.0,0.5,2,0,0.0,0.0
PRICE,$30,1,0,0.05,0.0,0.5,3,0,0.0,0.0
PRICE,$890,1,0,0.05,0.0,0.5,2,0,0.0,0.0
PRICE,$18,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,€19,1,0,0.05,0.0,0.5,2,0,0.0,0.0
PRICE,$276,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$708,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,"INR 2,999",1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,£82.80,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$49.99,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$108,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$250,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$1.00,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$78,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$13.26,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,"40,000 euros",1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,€23,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,"$

3.13

AUD",1,0,0.05,0.0,0.5,2,0,0.0,0.0
PRICE,$650,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$147,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,250 dollars,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,23 dollars,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$948,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$0.00,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$660,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,299 dollars,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,340 dollars,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$26,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,"$

3.1

M",1,0,0.05,0.0,0.5,2,0,0.0,0.0
PRICE,"$

35

k",1,0,0.05,0.0,0.5,2,0,0.0,0.0
PRICE,$350 dollars,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$5.00,1,0,0.05,0.0,0.5,4,0,0.0,0.0
PRICE,155 dollars,1,0,0.05,0.0,0.5,2,0,0.0,0.0
PRICE,$12,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$26.38,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$0.50,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$95,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,199 dollars,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,"INR 4,499",1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$ 299,1,0,0.05,0.0,0.5,1,0,0.0,0.0
PRICE,$295.00,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$69.99,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,"$10,000",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$849.9,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$25,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,Rs. 25,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,US$5.89,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$159,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,0.00 €,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$20.00,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$169.99,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$195.00,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,€250,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$500,0,3,0.0,0.0698,0.0,0,3,0.0,0.0
PRICE,$15k,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,195 USD,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,325 USD,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$761,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$17,0,2,0.0,0.0465,0.0,0,2,0.0,0.0
PRICE,£63,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,€125,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$2.02,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,€0.035,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$50010,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$1.39,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,"$1,850",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$39.99,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$25.3,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$45,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$20M,0,1,0.0,0.0233,0.0,0,2,0.0,0.0
PRICE,$395.00,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,£21,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,100 euros,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$350,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$371,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,0.03 €,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$11.00,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$95.00,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$323.99,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$449,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$189,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,£125,0,1,0.0,0.0233,0.0,0,2,0.0,0.0
PRICE,$200,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$239,0,2,0.0,0.0465,0.0,0,2,0.0,0.0
PRICE,€59.00,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,1.80 €,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$4,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$48,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$50,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$1,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$28,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
