entity_type,entity_name,cited_doc_count,non_cited_doc_count,cited_coverage_rate,non_cited_coverage_rate,coverage_lift,cited_total_mentions,non_cited_total_mentions,avg_salience_cited,avg_salience_non_cited
PHONE_NUMBER,(877) 818-7447,1,0,0.0588,0.0,0.588,4,0,0.0,0.0
PHONE_NUMBER,877-818-7447 ext. 1,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,$155,3,1,0.1765,0.0233,7.5751,4,2,0.0,0.0
PRICE,$297,2,1,0.1176,0.0233,5.0472,2,1,0.0,0.0
PRICE,$24.99,2,1,0.1176,0.0233,5.0472,4,2,0.0,0.0
PRICE,$75,2,1,0.1176,0.0233,5.0472,3,2,0.0,0.0
PRICE,$499,3,2,0.1765,0.0465,3.7957,4,2,0.0,0.0
PRICE,$199,6,4,0.3529,0.093,3.7946,9,6,0.0,0.0
PRICE,$23,2,2,0.1176,0.0465,2.529,2,2,0.0,0.0
PRICE,$299,2,2,0.1176,0.0465,2.529,2,2,0.0,0.0
PRICE,$49.99,2,2,0.1176,0.0465,2.529,3,3,0.0,0.0
PRICE,$0,2,2,0.1176,0.0465,2.529,3,2,0.0,0.0
PRICE,$14.99,2,2,0.1176,0.0465,2.529,3,2,0.0,0.0
PRICE,$29,5,5,0.2941,0.1163,2.5288,9,8,0.0,0.0
PRICE,$100,3,3,0.1765,0.0698,2.5287,3,5,0.0,0.0
PRICE,$399,1,1,0.0588,0.0233,2.5236,2,2,0.0,0.0
PRICE,"INR 4,499",1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$5,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$74,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$95,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$4.99,1,1,0.0588,0.0233,2.5236,2,2,0.0,0.0
PRICE,$0.50,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$0.30,1,1,0.0588,0.0233,2.5236,2,2,0.0,0.0
PRICE,$229.99,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$375,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,€99,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$147,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$550,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,€23,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$1.00,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$129,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,€19,1,1,0.0588,0.0233,2.5236,2,2,0.0,0.0
PRICE,$20,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$18,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,"INR 2,999",1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,"INR 1,500",1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$69,1,1,0.0588,0.0233,2.5236,1,1,0.0,0.0
PRICE,$59,4,5,0.2353,0.1163,2.0232,6,8,0.0,0.0
PRICE,$11,4,5,0.2353,0.1163,2.0232,7,8,0.0,0.0
PRICE,$99,3,4,0.1765,0.093,1.8978,3,5,0.0,0.0
PRICE,$19.99,4,6,0.2353,0.1395,1.6867,8,11,0.0,0.0
PRICE,$49,2,3,0.1176,0.0698,1.6848,3,4,0.0,0.0
PRICE,$70,2,3,0.1176,0.0698,1.6848,3,4,0.0,0.0
PRICE,$19,3,5,0.1765,0.1163,1.5176,6,9,0.0,0.0
PRICE,$9.99,5,9,0.2941,0.2093,1.4052,6,10,0.0,0.0
PRICE,$9,4,8,0.2353,0.186,1.2651,10,13,0.0,0.0
PRICE,$300,2,4,0.1176,0.093,1.2645,3,5,0.0,0.0
PRICE,$50,2,4,0.1176,0.093,1.2645,2,4,0.0,0.0
PRICE,$40,1,2,0.0588,0.0465,1.2645,1,2,0.0,0.0
PRICE,$239,1,2,0.0588,0.0465,1.2645,1,2,0.0,0.0
PRICE,$159.99,1,2,0.0588,0.0465,1.2645,1,2,0.0,0.0
PRICE,$119,1,2,0.0588,0.0465,1.2645,2,3,0.0,0.0
PRICE,$0.01,1,2,0.0588,0.0465,1.2645,1,2,0.0,0.0
PRICE,$10,2,5,0.1176,0.1163,1.0112,2,8,0.0,0.0
PRICE,$99.99,1,3,0.0588,0.0698,0.8424,1,3,0.0,0.0
PRICE,$29.99,1,4,0.0588,0.093,0.6323,2,5,0.0,0.0
PRICE,€125,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,£21,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,$708,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,$26,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,£60,1,0,0.0588,0.0,0.588,2,0,0.0,0.0
PRICE,$59.99,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,$26.38,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,$15,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,€250,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,€5,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,€8,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,€220,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,€10,1,0,0.0588,0.0,0.588,2,0,0.0,0.0
PRICE,$0.99,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,$78,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,€210,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,€149,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,£65,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,$36,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,$108,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,€18,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,£63,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,$377,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,$121,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,$13.26,1,0,0.0588,0.0,0.588,1,0,0.0,0.0
PRICE,£125,1,0,0.0588,0.0,0.588,2,0,0.0,0.0
PRICE,$349,1,0,0.0588,0.0,0.588,2,0,0.0,0.0
PRICE,$0.05,1,5,0.0588,0.1163,0.5056,1,6,0.0,0.0
PRICE,"$10,000",0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$6.59,0,1,0.0,0.0233,0.0,0,2,0.0,0.0
PRICE,$79,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$5.00,0,1,0.0,0.0233,0.0,0,4,0.0,0.0
PRICE,$1M,0,1,0.0,0.0233,0.0,0,4,0.0,0.0
PRICE,€26,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$0.10,0,2,0.0,0.0465,0.0,0,2,0.0,0.0
PRICE,0.03 €,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,100 euros,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,"$

35

k",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
PRICE,$761,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$12,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$247,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$25,0,3,0.0,0.0698,0.0,0,4,0.0,0.0
PRICE,$399.99,0,2,0.0,0.0465,0.0,0,2,0.0,0.0
PRICE,$449,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,49.00 €,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$119.00,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$215.99,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$11.00,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$145,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$500K,0,1,0.0,0.0233,0.0,0,6,0.0,0.0
PRICE,US$5.89,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$1.39,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$107.99,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$189,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$2.02,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$0.49,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$4,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,0.00 €,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$250,0,1,0.0,0.0233,0.0,0,2,0.0,0.0
PRICE,$323.99,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$45,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,Rs. 25,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$849.9,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$10000,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,"$

3.13

AUD",0,1,0.0,0.0233,0.0,0,2,0.0,0.0
PRICE,$890,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$25.3,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,€0.035,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
PRICE,$24,0,1,0.0,0.0233,0.0,0,1,0.0,0.0
